object_id,mission,period_days,duration_hours,depth_ppm,planet_radius_rearth,score,label,label_raw,duty_cycle,transit_frequency,planet_radius_from_depth,mission_encoded
K04001.01,kepler,1.081935491,5.136,202.9,0.99,0.0,fp,FALSE POSITIVE,0.19779367788573635,0.9242695228305436,0.014244297104455524,0
K04002.01,kepler,0.524175803,0.7648,236.8,1.27,1.0,planet,CONFIRMED,0.06079385291019751,1.9077568904873696,0.015388307249337076,0
K04003.01,kepler,1.89129881,5.294,82.0,0.86,0.0,fp,FALSE POSITIVE,0.11663060969902123,0.5287371803506818,0.009055385138137417,0
K04004.01,kepler,4.94330596,2.9334,126.2,1.41,1.0,planet,CONFIRMED,0.02472535606515442,0.20229377022012207,0.011233877335986894,0
K04005.01,kepler,178.139072,9.654,678.8,2.25,0.997,planet,CONFIRMED,0.002258067225139693,0.005613591610042742,0.026053790511171303,0
K07843.01,kepler,0.619023176,1.496,77.9,0.79,0.8,candidate,CANDIDATE,0.10069628367732282,1.615448401240473,0.008826097665446491,0
K01772.01,kepler,120.00336404,3.3803,39596.0,15.08,0.0,candidate,CANDIDATE,0.0011736823751573003,0.008333099725993316,0.19898743678936115,0
K01766.01,kepler,4.067371428,5.8962,63447.0,68.81,0.0,fp,FALSE POSITIVE,0.06040141756141579,0.24585903149044785,0.2518868793724675,0
K01903.01,kepler,1.540395781,1.6305,173.4,0.94,0.0,fp,FALSE POSITIVE,0.04410392500289509,0.649183808690268,0.013168143377105219,0
K01912.01,kepler,32.9045733,4.402,662.3,28.34,0.001,fp,FALSE POSITIVE,0.005574199823058234,0.03039091225656465,0.025735189915755432,0
K01811.01,kepler,2.46353343,2.954,830.0,21.49,0.0,fp,FALSE POSITIVE,0.049962112076284405,0.40592101890007637,0.028809720581775868,0
K01791.01,kepler,22.91339043,3.94,5407.0,24.11,0.0,fp,FALSE POSITIVE,0.0071646606454070115,0.043642602916184846,0.07353230582539895,0
K02192.01,kepler,1.541350116,3.29,378.0,1.5,0.0,fp,FALSE POSITIVE,0.08893718040459364,0.6487818631338138,0.01944222209522358,0
K02196.01,kepler,1.205412526,1.537,109.2,12.6,0.0,fp,FALSE POSITIVE,0.05312842307950819,0.8295915119767057,0.010449880382090505,0
K02197.01,kepler,1.710316235,3.614,409.4,23.38,0.0,fp,FALSE POSITIVE,0.0880441466038784,0.5846871938276373,0.020233635362929717,0
K02198.01,kepler,23.9210408,5.174,158.3,3.01,0.991,planet,CONFIRMED,0.009012289019352927,0.04180420109479517,0.012581732790041282,0
K02199.01,kepler,9.03326435,2.857,610.7,1.96,0.993,planet,CONFIRMED,0.013178144915759792,0.11070195239000175,0.02471234509309062,0
K03932.01,kepler,356.535835,5.467,3113.0,28.27,0.0,fp,FALSE POSITIVE,0.0006389025851122838,0.002804767156154163,0.055794264938253284,0
K03933.01,kepler,3.490785878,1.4513,336.8,1.32,1.0,planet,CONFIRMED,0.01732298555303521,0.28646844434151797,0.01835211159512714,0
K03934.01,kepler,1.92149487,1.891,1006.0,79.14,0.0,fp,FALSE POSITIVE,0.04100540048106746,0.5204281393683866,0.031717503054307414,0
K03935.01,kepler,1.093665854,1.4399,218.4,1.29,1.0,planet,CONFIRMED,0.05485755371615848,0.9143560588845083,0.014778362561528932,0
K03936.01,kepler,141.608555,7.685,1263.1,2.98,0.0,candidate,CANDIDATE,0.0022612216707764113,0.007061720247057108,0.035540118176505826,0
K07832.01,kepler,3.6092231,2.8,52.4,0.68,0.465,candidate,CANDIDATE,0.032324592698818384,0.2770679374184433,0.007238784428341543,0
K04006.01,kepler,12.4247333,16.828,40.5,1.47,0.0,fp,FALSE POSITIVE,0.05643313620797532,0.08048462496977701,0.006363961030678928,0
K04007.01,kepler,11.4927112,7.764,291.5,25.01,0.964,candidate,CANDIDATE,0.028148275404327572,0.08701167049251181,0.017073371078963874,0
K04008.01,kepler,70.7511986,6.198,858.1,27.74,0.0,fp,FALSE POSITIVE,0.003650114840598616,0.014134036168823295,0.029293343953874573,0
K02172.02,kepler,116.583183,5.8,819.0,2.91,0.991,planet,CONFIRMED,0.0020729118938763807,0.008577566457419505,0.02861817604250837,0
K04009.01,kepler,175.13892,10.767,634.5,3.06,0.997,planet,CONFIRMED,0.002561538006515056,0.005709753149100154,0.025189283435619998,0
K07844.01,kepler,1.302061421,1.8238,1046.1,92.86,0.0,fp,FALSE POSITIVE,0.058362582164752326,0.7680129246376004,0.032343469201679645,0
K01768.01,kepler,55.25178622,6.094,39874.0,27.32,0.0,fp,FALSE POSITIVE,0.004595628196627498,0.01809896237595339,0.1996847515460307,0
K01757.01,kepler,5.548250634,6.06772,42873.0,21.49,0.001,fp,FALSE POSITIVE,0.04556781647846996,0.1802369910746177,0.20705796289928094,0
K01775.01,kepler,4.442520831,2.4779,531.5,3.98,0.0,fp,FALSE POSITIVE,0.023240371235376502,0.22509742509747613,0.023054283766797006,0
K01936.01,kepler,1.339670241,1.895,28.6,1.27,1.0,fp,FALSE POSITIVE,0.05893863349117519,0.7464523502840129,0.005347896782848375,0
K01777.01,kepler,2.685223546,4.0632,5494.6,28.98,0.0,fp,FALSE POSITIVE,0.06304875445182023,0.3724084728400486,0.07412556913778133,0
K02203.01,kepler,1.99042642,3.083,133.8,1.17,0.0,fp,FALSE POSITIVE,0.06453809698392837,0.5024049067837434,0.011567194992737003,0
K02207.01,kepler,67.230028,25.01,379.1,2.44,0.0,fp,FALSE POSITIVE,0.015500266240158838,0.014874305868205201,0.019470490492024078,0
K02211.01,kepler,0.805259637,0.9779,341.8,1.93,0.0,fp,FALSE POSITIVE,0.050599622110866244,1.2418354951025565,0.018487833837418595,0
K02050.01,kepler,75.3787816,5.268,387.7,1.6,0.0,fp,FALSE POSITIVE,0.0029119600415510034,0.013266332763330311,0.01969009903479411,0
K02231.01,kepler,2.464160779,2.427,116.7,36.93,0.0,fp,FALSE POSITIVE,0.041038312459886775,0.4058176757467171,0.010802777420645119,0
K07823.01,kepler,0.566781152,3.995,133.4,0.54,0.0,fp,FALSE POSITIVE,0.2936906648111921,1.7643494256492143,0.011549891774384728,0
K03936.02,kepler,13.0267964,0.785,356.6,2.08,0.91,planet,CONFIRMED,0.0025108501222398266,0.07676484450159979,0.018883855538528144,0
K03937.01,kepler,4.93129874,1.8626,676.1,21.42,0.0,fp,FALSE POSITIVE,0.015737909509277333,0.20278633534986365,0.026001923005808628,0
K03938.01,kepler,5.59187448,1.6782,236.4,104.18,0.0,fp,FALSE POSITIVE,0.012504751358438931,0.17883090966662754,0.015375304875026056,0
K03939.01,kepler,1.88665445,1.343,2098.0,43.81,1.0,fp,FALSE POSITIVE,0.02966008604985048,0.5300387678305373,0.04580392996239515,0
K03940.01,kepler,14.53682228,3.195,1032.3,73.15,0.0,fp,FALSE POSITIVE,0.009157778600840128,0.06879082517063007,0.03212942576517669,0
K07833.01,kepler,172.820248,7.343,549.3,2.22,0.923,candidate,CANDIDATE,0.0017703847603165882,0.0057863590150617076,0.023437149997386626,0
K04010.01,kepler,1.72853003,3.819,99.1,2.43,0.0,fp,FALSE POSITIVE,0.09205798987478396,0.5785262521588936,0.009954898291795853,0
K04011.01,kepler,2.19068738,4.41,66.3,1.68,0.495,fp,FALSE POSITIVE,0.0838777826893767,0.45647772892177796,0.008142481194328912,0
K04012.01,kepler,372.16478,11.288,2074.0,5.68,,fp,FALSE POSITIVE,0.001263777118655165,0.002686981825631109,0.0455411901469428,0
K04013.01,kepler,0.947730124,1.1171,152.5,2.82,0.0,fp,FALSE POSITIVE,0.04911296175421911,1.0551527008336394,0.012349089035228468,0
K04014.01,kepler,234.240739,12.925,464.1,3.41,0.982,planet,CONFIRMED,0.002299094807187518,0.004269112214506803,0.021542980295214495,0
K07845.01,kepler,341.01495,5.12,386.0,1.72,0.146,fp,FALSE POSITIVE,0.000625583521582656,0.0029324227574187,0.0196468827043885,0
K01755.01,kepler,6.14631207,3.803,891.1,4.79,0.0,fp,FALSE POSITIVE,0.025781042603867224,0.16269919076855466,0.029851298129227145,0
K01991.01,kepler,27.36432337,3.545,2282.5,39.49,0.0,fp,FALSE POSITIVE,0.005397843437827102,0.03654393300644583,0.047775516742365014,0
K01836.01,kepler,10.26231992,3.568,813.9,1.98,0.001,fp,FALSE POSITIVE,0.014486652903592844,0.09744385361161105,0.02852893268245414,0
K01778.01,kepler,1.519529227,5.1675,8372.5,11.12,0.0,fp,FALSE POSITIVE,0.14169684674317884,0.6580985625227463,0.09150136611002045,0
K01780.01,kepler,6.487525901,2.4536,20209.0,21.23,0.0,fp,FALSE POSITIVE,0.015758447040276923,0.1541419664846129,0.14215836239912163,0
K07813.01,kepler,0.56676437,2.326,76.5,0.92,0.0,fp,FALSE POSITIVE,0.1709999283594109,1.7644016683688144,0.008746427842267951,0
K02234.01,kepler,2.35197616,5.304,268.0,21.19,0.0,fp,FALSE POSITIVE,0.0939635374535429,0.42517437761784116,0.0163707055437449,0
K02235.01,kepler,0.861643331,2.4318,232.5,1.88,0.0,fp,FALSE POSITIVE,0.11759506091970204,1.160573016725409,0.015247950681976907,0
K02239.01,kepler,12.1097626,10.174,113.9,1.09,0.0,fp,FALSE POSITIVE,0.03500619134075069,0.08257800198329239,0.01067239429556461,0
K02240.01,kepler,63.909601,11.85,143.0,0.76,,fp,FALSE POSITIVE,0.007725756260002312,0.01564710128608063,0.011958260743101398,0
K02244.01,kepler,19.7352868,5.097,319.4,49.24,0.002,fp,FALSE POSITIVE,0.010761181337379905,0.050670659622742344,0.017871765441612085,0
K07824.01,kepler,0.566799125,3.072,30.7,0.56,0.0,fp,FALSE POSITIVE,0.22582956528029222,1.764293478752283,0.005540758070878027,0
